day,Calopeia,Sorange,Tyran,Entworpe,Fardo
1,11,0,0,0,0
2,7,0,0,0,0
3,4,0,0,0,0
4,8,0,0,0,0
5,5,0,0,0,0
6,8,0,0,0,0
7,14,0,0,0,0
8,6,0,0,0,0
9,31,0,0,0,0
10,7,0,0,0,0
11,7,0,0,0,0
12,19,0,0,0,0
13,5,0,0,0,0
14,6,0,0,0,0
15,7,0,0,0,0
16,5,0,0,0,0
17,14,0,0,0,0
18,25,0,0,0,0
19,2,0,0,0,0
20,4,0,0,0,0
21,11,0,0,0,0
22,22,0,0,0,0
23,8,0,0,0,0
24,10,0,0,0,0
25,11,0,0,0,0
26,16,0,0,0,0
27,17,0,0,0,0
28,12,0,0,0,0
29,7,0,0,0,0
30,4,0,0,0,0
31,25,0,0,0,0
32,2,0,0,0,0
33,14,0,0,0,0
34,13,0,0,0,0
35,25,0,0,0,0
36,13,0,0,0,0
37,8,0,0,0,0
38,17,0,0,0,0
39,24,0,0,0,0
40,6,0,0,0,0
41,19,0,0,0,0
42,33,0,0,0,0
43,7,0,0,0,0
44,18,0,0,0,0
45,12,0,0,0,0
46,7,0,0,0,0
47,3,0,0,0,0
48,25,0,0,0,0
49,15,0,0,0,0
50,38,0,0,0,0
51,28,0,0,0,0
52,22,0,0,0,0
53,5,0,0,0,0
54,22,0,0,0,0
55,6,0,0,0,0
56,10,0,0,0,0
57,14,0,0,0,0
58,23,0,0,0,0
59,40,0,0,0,0
60,18,0,0,0,0
61,15,0,0,0,0
62,41,0,0,0,0
63,30,0,0,0,0
64,23,0,0,0,0
65,17,0,0,0,0
66,28,0,0,0,0
67,33,0,0,0,0
68,28,0,0,0,0
69,17,0,0,0,0
70,55,0,0,0,0
71,15,0,0,0,0
72,35,0,0,0,0
73,50,0,0,0,0
74,39,0,0,0,0
75,50,0,0,0,0
76,35,0,0,0,0
77,45,0,0,0,0
78,69,0,0,0,0
79,38,0,0,0,0
80,23,0,0,0,0
81,19,0,0,0,0
82,42,0,0,0,0
83,39,0,0,0,0
84,27,0,0,0,0
85,19,0,0,0,0
86,22,0,0,0,0
87,32,0,0,0,0
88,27,0,0,0,0
89,36,0,0,0,0
90,50,0,0,0,0
91,27,0,0,0,0
92,56,0,0,0,0
93,43,0,0,0,0
94,37,0,0,0,0
95,39,0,0,0,0
96,56,0,0,0,0
97,38,0,0,0,0
98,32,0,0,0,0
99,34,0,0,0,0
100,40,0,0,0,0
101,30,0,0,0,0
102,42,0,0,0,0
103,31,0,0,0,0
104,56,0,0,0,0
105,26,0,0,0,0
106,42,0,0,0,0
107,59,0,0,0,0
108,37,0,0,0,0
109,50,0,0,0,0
110,51,0,0,0,0
111,63,0,0,0,0
112,53,0,0,0,0
113,24,0,0,0,0
114,61,0,0,0,0
115,44,0,0,0,0
116,58,0,0,0,0
117,103,0,0,0,0
118,22,0,0,0,0
119,52,0,0,0,0
120,64,0,0,0,0
121,55,0,0,0,0
122,60,0,0,0,0
123,53,0,0,0,0
124,58,0,0,0,0
125,30,0,0,0,0
126,72,0,0,0,0
127,53,0,0,0,0
128,78,0,0,0,0
129,64,0,0,0,0
130,62,0,0,0,0
131,75,0,0,0,0
132,40,0,0,0,0
133,129,0,0,0,0
134,64,0,0,0,0
135,79,0,0,0,0
136,69,0,0,0,0
137,49,0,0,0,0
138,45,0,0,0,0
139,43,0,0,0,0
140,62,0,0,0,0
141,52,0,0,0,0
142,48,0,0,0,0
143,83,0,0,0,0
144,45,0,0,0,0
145,42,0,0,0,0
146,83,0,0,0,0
147,57,0,0,0,0
148,61,0,0,0,0
149,81,0,0,0,0
150,59,0,0,0,0
151,51,0,0,0,0
152,68,0,0,0,0
153,101,0,0,0,0
154,80,0,0,0,0
155,43,0,0,0,0
156,64,0,0,0,0
157,89,0,0,0,0
158,94,0,0,0,0
159,49,0,0,0,0
160,77,0,0,0,0
161,74,0,0,0,0
162,56,0,0,0,0
163,54,0,0,0,0
164,67,0,0,0,0
165,83,0,0,0,0
166,56,0,0,0,0
167,70,0,0,0,0
168,58,0,0,0,0
169,76,0,0,0,0
170,74,0,0,0,0
171,46,0,0,0,0
172,80,0,0,0,0
173,48,0,0,0,0
174,67,0,0,0,0
175,104,0,0,0,0
176,41,0,0,0,0
177,81,0,0,0,0
178,70,0,0,0,0
179,69,0,0,0,0
180,133,0,0,0,0
181,56,0,0,0,0
182,56,0,0,0,0
183,88,0,0,0,0
184,64,0,0,0,0
185,58,0,0,0,0
186,80,0,0,0,0
187,96,0,0,0,0
188,60,0,0,0,0
189,100,0,0,0,0
190,74,0,0,0,0
191,44,0,0,0,0
192,77,0,0,0,0
193,99,0,0,0,0
194,109,0,0,0,0
195,62,0,0,0,0
196,70,0,0,0,0
197,56,0,0,0,0
198,74,0,0,0,0
199,60,0,0,0,0
200,36,0,0,0,0
201,72,0,0,0,0
202,78,0,0,0,0
203,62,0,0,0,0
204,84,0,0,0,0
205,81,0,0,0,0
206,67,0,0,0,0
207,92,0,0,0,0
208,110,0,0,0,0
209,41,0,0,0,0
210,57,0,0,0,0
211,52,0,0,0,0
212,96,0,0,0,0
213,65,0,0,0,0
214,88,0,0,0,0
215,44,0,0,0,0
216,65,0,0,0,0
217,76,0,0,0,0
218,73,0,0,0,0
219,64,0,0,0,0
220,40,0,0,0,0
221,64,0,0,0,0
222,56,0,0,0,0
223,78,0,0,0,0
224,43,0,0,0,0
225,78,0,0,0,0
226,64,0,0,0,0
227,67,0,0,0,0
228,80,0,0,0,0
229,40,0,0,0,0
230,71,0,0,0,0
231,84,0,0,0,0
232,29,0,0,0,0
233,53,0,0,0,0
234,72,0,0,0,0
235,39,0,0,0,0
236,63,0,0,0,0
237,83,0,0,0,0
238,31,0,0,0,0
